Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
28,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
36,Female,Master's Degree,Marketing Director,11,160000,19.2
25,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
29,Female,PhD,Data Scientist,5,100000,12
33,Male,Bachelor's Degree,Project Manager,8,120000,14.4
27,Female,Bachelor's Degree,Graphic Designer,2,50000,6
43,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
30,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
34,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
25,Female,High School,Sales Associate,0,25000,3
31,Male,Master's Degree,Financial Analyst,6,100000,12
27,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
33,Male,PhD,Research Scientist,10,150000,18
23,Female,High School,Receptionist,0,25000,3
38,Male,Bachelor's Degree,Product Manager,13,160000,19.2
39,Female,Master's Degree,Marketing Manager,14,170000,20.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
28,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
36,Female,Master's Degree,Marketing Director,11,160000,19.2
25,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
29,Female,PhD,Data Scientist,5,100000,12
33,Male,Bachelor's Degree,Project Manager,8,120000,14.4
27,Female,Bachelor's Degree,Graphic Designer,2,50000,6
43,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
30,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
34,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
25,Female,High School,Sales Associate,0,25000,3
31,Male,Master's Degree,Financial Analyst,6,100000,12
27,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
33,Male,PhD,Research Scientist,10,150000,18
23,Female,High School,Receptionist,0,25000,3
38,Male,Bachelor's Degree,Product Manager,13,160000,19.2
39,Female,Master's Degree,Marketing Manager,14,170000,20.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
28,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
36,Female,Master's Degree,Marketing Director,11,160000,19.2
25,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
29,Female,PhD,Data Scientist,5,100000,12
33,Male,Bachelor's Degree,Project Manager,8,120000,14.4
27,Female,Bachelor's Degree,Graphic Designer,2,50000,6
43,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
30,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
34,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
25,Female,High School,Sales Associate,0,25000,3
31,Male,Master's Degree,Financial Analyst,6,100000,12
27,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
33,Male,PhD,Research Scientist,10,150000,18
23,Female,High School,Receptionist,0,25000,3
38,Male,Bachelor's Degree,Product Manager,13,160000,19.2
39,Female,Master's Degree,Marketing Manager,14,170000,20.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
26,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
28,Male,Bachelor's Degree,Product Designer,3,60000,7.2
35,Female,PhD,Research Director,11,160000,19.2
27,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
32,Female,Master's Degree,Financial Manager,8,120000,14.4
28,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
36,Female,Master's Degree,Marketing Director,11,160000,19.2
25,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
29,Female,PhD,Data Scientist,5,100000,12
33,Male,Bachelor's Degree,Project Manager,8,120000,14.4
27,Female,Bachelor's Degree,Graphic Designer,2,50000,6
43,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
30,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
34,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
25,Female,High School,Sales Associate,0,25000,3
31,Male,Master's Degree,Financial Analyst,6,100000,12
27,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
33,Male,PhD,Research Scientist,10,150000,18
27,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
35,Female,Master's Degree,Marketing Director,11,160000,19.2
24,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
28,Female,PhD,Data Scientist,5,100000,12
32,Male,Bachelor's Degree,Project Manager,8,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
41,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
29,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
33,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
24,Female,High School,Sales Associate,0,25000,3
30,Male,Master's Degree,Financial Analyst,6,100000,12
26,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
32,Male,PhD,Research Scientist,10,150000,18
22,Female,High School,Receptionist,0,25000,3
37,Male,Bachelor's Degree,Product Manager,13,160000,19.2
38,Female,Master's Degree,Marketing Manager,14,170000,20.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
35,Female,Master's Degree,Marketing Director,11,160000,19.2
24,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
28,Female,PhD,Data Scientist,5,100000,12
32,Male,Bachelor's Degree,Project Manager,8,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
41,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
29,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
33,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
24,Female,High School,Sales Associate,0,25000,3
30,Male,Master's Degree,Financial Analyst,6,100000,12
26,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
32,Male,PhD,Research Scientist,10,150000,18
22,Female,High School,Receptionist,0,25000,3
37,Male,Bachelor's Degree,Product Manager,13,160000,19.2
38,Female,Master's Degree,Marketing Manager,14,170000,20.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
35,Female,Master's Degree,Marketing Director,11,160000,19.2
24,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
28,Female,PhD,Data Scientist,5,100000,12
32,Male,Bachelor's Degree,Project Manager,8,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
41,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
29,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
33,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
24,Female,High School,Sales Associate,0,25000,3
30,Male,Master's Degree,Financial Analyst,6,100000,12
26,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
32,Male,PhD,Research Scientist,10,150000,18
22,Female,High School,Receptionist,0,25000,3
37,Male,Bachelor's Degree,Product Manager,13,160000,19.2
38,Female,Master's Degree,Marketing Manager,14,170000,20.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
35,Female,Master's Degree,Marketing Director,11,160000,19.2
24,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
28,Female,PhD,Data Scientist,5,100000,12
32,Male,Bachelor's Degree,Project Manager,8,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
41,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
29,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
33,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
24,Female,High School,Sales Associate,0,25000,3
30,Male,Master's Degree,Financial Analyst,6,100000,12
26,Female,Bachelor's Degree,Social Media Manager,3,55000,6.6
32,Male,PhD,Research Scientist,10,150000,18
22,Female,High School,Receptionist,0,25000,3
37,Male,Bachelor's Degree,Product Manager,13,160000,19.2
38,Female,Master's Degree,Marketing Manager,14,170000,20.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Junior Software Engineer,1,55000,6.6
31,Female,Bachelor's Degree,Marketing Coordinator,4,65000,7.8
29,Male,Bachelor's Degree,Product Designer,3,60000,7.2
34,Female,PhD,Research Director,11,160000,19.2
26,Male,Bachelor's Degree,Marketing Analyst,2,50000,6
31,Female,Master's Degree,Financial Manager,8,120000,14.4
27,Male,Bachelor's Degree,Software Engineer,3,85000,10.2
35,Female,Master's Degree,Marketing Director,11,160000,19.2
24,Male,Bachelor's Degree,Financial Analyst,1,55000,6.6
28,Female,PhD,Data Scientist,5,100000,12
32,Male,Bachelor's Degree,Project Manager,8,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
41,Male,Master's Degree,Senior Software Engineer,19,185000,22.2
29,Female,Bachelor's Degree,Digital Marketing Specialist,4,65000,7.8
33,Male,Bachelor's Degree,Marketing Manager,9,130000,15.6
24,Female,High School,Sales Associate,0,25000,3
30,Male,Master's Degree,Financial Analyst,6,100000,12
26,Female,Bachelor's Degree,Social Media Man,7,100000,12
31,Male,Bachelor's Degree,Software Engineer,7,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,2,50000,6
33,Male,Master's Degree,Marketing Manager,9,130000,15.6
29,Female,High School,Customer Service Representative,3,35000,4.2
36,Male,PhD,Research Scientist,13,160000,19.2
27,Female,Bachelor's Degree,Marketing Coordinator,2,50000,6
31,Male,Bachelor's Degree,Project Manager,6,100000,12
28,Female,Master's Degree,Financial Analyst,4,80000,9.6
25,Male,Bachelor's Degree,Software Engineer,1,60000,7.2
30,Female,Bachelor's Degree,Sales Manager,5,90000,10.8
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,160000,19.2
25,Male,Bachelor's Degree,Product Manager,1,55000,6.6
30,Female,Bachelor's Degree,Marketing Coordinator,5,85000,10.2
34,Male,PhD,Research Director,11,170000,20.4
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,180000,21.6
28,Female,Bachelor's Degree,Marketing Coordinator,3,60000,7.2
33,Male,Master's Degree,Software Engineer,9,120000,14.4
26,Female,Bachelor's Degree,Graphic Designer,1,45000,5.4
29,Male,Bachelor's Degree,Product Manager,5,80000,9.6
35,Female,PhD,Research Scientist,11,150000,18
27,Male,Bachelor's Degree,Software Engineer,2,65000,7.8
31,Female,Bachelor's Degree,Marketing Manager,7,100000,12
28,Male,Master's Degree,Financial Analyst,4,90000,10.8
24,Female,Bachelor's Degree,Marketing Analyst,0,40000,4.8
30,Male,Bachelor's Degree,Project Manager,6,110000,13.2
34,Female,PhD,Research Director,12,170000,20.4
27,Male,Bachelor's Degree,Software Engineer,3,75000,9
33,Female,Master's Degree,Marketing Manager,8,120000,14.4
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
25,Female,High School,Customer Service Representative,1,30000,3.6
36,Male,PhD,Research Scientist,13,180000,21.6
39,Female,Bachelor's Degree,Financial Manager,15,200000,24
26,Male,Bachelor's Degree,Product Designer,1,50000,6
31,Female,PhD,Data Scientist,8,140000,16.8
28,Male,Bachelor's Degree,Marketing Analyst,3,65000,7.8
32,Female,Bachelor's Degree,Product Manager,7,110000,13.2
24,Male,High School,Delivery Driver,0,28000,3.36
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,210000,25.2
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
29,Male,Bachelor's Degree,Marketing Analyst,4,70000,8.4
33,Female,Master's Degree,Marketing Manager,9,130000,15.6
27,Male,Bachelor's Degree,Software Engineer,3,80000,9.6
36,Female,PhD,Research Scientist,12,170000,20.4
25,Male,Bachelor's Degree,Product Manager,1,60000,7.2
30,Female,Bachelor's Degree,Marketing Coordinator,5,90000,10.8
34,Male,PhD,Research Director,11,160000,19.2
28,Female,Bachelor's Degree,Marketing Analyst,3,60000,7.2
32,Male,Bachelor's Degree,Product Manager,7,120000,14.4
24,Female,High School,Receptionist,0,25000,3
37,Male,Master's Degree,Marketing Director,14,190000,22.8
39,Female,Bachelor's Degree,Financial Manager,16,200000,24
26,Male,Bachelor's Degree,Product Designer,2,55000,6.6
31,Female,PhD,Data Scientist,8,140000,16.8
